sample_id,image_path,overlay_path,prompt,relation,object_a,object_b,checker_verdict_raw,conf,run_id,run_path,method
sd15_promptonly_v1_000116_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000116_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000116_seed0003.png,A photo of a stop sign to the left of a teddy bear.,left_of,stop sign,teddy bear,UNDECIDABLE,0.0010,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000100_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000100_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000100_seed0000.png,A photo of a apple to the left of a horse.,left_of,apple,horse,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000052_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000052_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000052_seed0000.png,A photo of a teddy bear to the left of a bear.,left_of,teddy bear,bear,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000068_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000068_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000068_seed0003.png,A photo of a motorcycle to the left of a cat.,left_of,motorcycle,cat,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000116_seed0002,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000116_seed0002.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000116_seed0002.png,A photo of a stop sign to the left of a teddy bear.,left_of,stop sign,teddy bear,UNDECIDABLE,0.0010,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000028_seed0003,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000028_seed0003.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000028_seed0003.png,A photo of a laptop to the left of a bus.,left_of,laptop,bus,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000021_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000021_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000021_seed0001.png,A photo of a dog to the right of a bear.,right_of,dog,bear,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000181_seed0002,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000181_seed0002.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000181_seed0002.png,A photo of a bus to the right of a cat.,right_of,bus,cat,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000041_seed0000,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000041_seed0000.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000041_seed0000.png,A photo of a clock to the right of a dog.,right_of,clock,dog,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
sd15_promptonly_v1_000197_seed0001,../../runs/final_20260112_084335/sd15_promptonly/images/sd15_promptonly_v1_000197_seed0001.png,../../runs/final_20260112_084335/sd15_promptonly/eval/overlays/sd15_promptonly_v1_000197_seed0001.png,A photo of a pizza to the right of a bottle.,right_of,pizza,bottle,UNDECIDABLE,0.0000,sd15_promptonly,runs/final_20260112_084335/sd15_promptonly,promptonly
