"sample_id","human_verdict","notes","timestamp"
"sd15_promptonly_v1_000116_seed0003","UNDECIDABLE","Overlap/centered","2026-01-14T15:37:27.930Z"
"sd15_promptonly_v1_000100_seed0000","UNDECIDABLE","","2026-01-14T15:37:34.870Z"
"sd15_promptonly_v1_000052_seed0000","UNDECIDABLE","","2026-01-14T15:37:55.781Z"
"sd15_promptonly_v1_000068_seed0003","PASS","","2026-01-14T15:39:09.080Z"
"sd15_promptonly_v1_000116_seed0002","UNDECIDABLE","Overlap/centered","2026-01-14T15:39:36.979Z"
"sd15_promptonly_v1_000028_seed0003","UNDECIDABLE","","2026-01-14T15:40:21.176Z"
"sd15_promptonly_v1_000021_seed0001","UNDECIDABLE","","2026-01-14T15:40:28.625Z"
"sd15_promptonly_v1_000181_seed0002","UNDECIDABLE","","2026-01-14T15:40:37.355Z"
"sd15_promptonly_v1_000041_seed0000","UNDECIDABLE","not well-defined right_of (large clock)","2026-01-15T09:01:20.219Z"
"sd15_promptonly_v1_000197_seed0001","UNDECIDABLE","","2026-01-15T09:02:07.824Z"
"sd15_promptonly_v1_000161_seed0002","FAIL","Banana is to the right of a bicycle","2026-01-15T09:03:39.124Z"
"sd15_promptonly_v1_000185_seed0002","UNDECIDABLE","Overlap/centered","2026-01-15T09:04:37.373Z"
"sd15_promptonly_v1_000126_seed0000","UNDECIDABLE","","2026-01-15T09:04:44.564Z"
"sd15_promptonly_v1_000094_seed0002","UNDECIDABLE","","2026-01-15T09:05:00.743Z"
"sd15_promptonly_v1_000050_seed0000","UNDECIDABLE","","2026-01-15T09:05:22.194Z"
"sd15_promptonly_v1_000074_seed0001","UNDECIDABLE","","2026-01-15T09:05:37.604Z"
"sd15_promptonly_v1_000022_seed0002","UNDECIDABLE","","2026-01-15T09:05:45.473Z"
"sd15_promptonly_v1_000134_seed0000","UNDECIDABLE","","2026-01-15T09:05:52.512Z"
"sd15_promptonly_v1_000163_seed0001","UNDECIDABLE","","2026-01-15T09:07:39.083Z"
"sd15_promptonly_v1_000091_seed0000","FAIL","dog on boat (not below)","2026-01-15T09:18:34.243Z"
"sd15_promptonly_v1_000095_seed0000","PASS","","2026-01-15T09:18:42.131Z"
"sd15_promptonly_v1_000199_seed0002","UNDECIDABLE","side-by-side / same height","2026-01-15T09:57:24.818Z"
"sd15_promptonly_v1_000199_seed0000","UNDECIDABLE","side-by-side / same height","2026-01-15T09:57:39.118Z"
"sd15_promptonly_v1_000159_seed0001","PASS","dog on ground. bus above","2026-01-15T09:59:19.379Z"
"sd15_promptonly_v1_000191_seed0002","UNDECIDABLE","","2026-01-15T09:59:34.297Z"
"sd15_promptonly_v1_000039_seed0001","FAIL","","2026-01-15T10:00:25.347Z"
"sd15_promptonly_v1_000139_seed0003","FAIL","giraffe above/over bed","2026-01-15T10:01:44.445Z"
"sd15_promptonly_v1_000067_seed0001","PASS","Bear is on the couch","2026-01-15T10:15:27.178Z"
"sd15_promptonly_v1_000095_seed0003","UNDECIDABLE","","2026-01-15T10:15:52.056Z"
"sd15_promptonly_v1_000182_seed0001","UNDECIDABLE","Overlap/centered","2026-01-15T10:16:48.608Z"
"sd15_promptonly_v1_000194_seed0000","PASS","","2026-01-15T10:16:57.496Z"
"sd15_promptonly_v1_000122_seed0000","PASS","","2026-01-15T10:17:08.577Z"
"sd15_promptonly_v1_000010_seed0003","PASS","","2026-01-15T10:17:15.716Z"
"sd15_promptonly_v1_000014_seed0000","PASS","","2026-01-15T10:17:22.214Z"
"sd15_promptonly_v1_000130_seed0001","PASS","","2026-01-15T10:17:28.406Z"
"sd15_promptonly_v1_000148_seed0002","UNDECIDABLE","dog on chair / overlap","2026-01-15T10:20:40.066Z"
"sd15_promptonly_v1_000148_seed0001","UNDECIDABLE","dog on chair / overlap","2026-01-15T10:22:40.134Z"
"sd15_promptonly_v1_000076_seed0000","UNDECIDABLE","Overlap/centered","2026-01-16T08:45:58.942Z"
"sd15_promptonly_v1_000040_seed0002","FAIL","","2026-01-16T08:46:20.234Z"
"sd15_promptonly_v1_000008_seed0003","UNDECIDABLE","on chair / overlap","2026-01-16T08:51:43.975Z"
"sd15_promptonly_v1_000164_seed0003","UNDECIDABLE","missing vase","2026-01-16T08:53:10.273Z"
